age,education,marital,country
28, Some-college, Divorced, United-States
30, HS-grad, Married-civ-spouse,
34, Bachelors, Married-civ-spouse, United-States
29, Some-college, Never-married, United-States
48, Doctorate, Married-civ-spouse, United-States
37, Some-college, Married-civ-spouse, United-States
48, Assoc-acdm, Divorced, England
32, HS-grad, Never-married, United-States
76, Masters, Married-civ-spouse, United-States
44, Bachelors, Married-civ-spouse, United-States
47, Masters, Never-married, United-States
20, Some-college, Never-married, United-States
29, HS-grad, Never-married, United-States
32, HS-grad, Married-civ-spouse, United-States
17, 10th, Never-married, United-States
30, 11th, Never-married, United-States
31, HS-grad, Never-married, United-States
42, HS-grad, Married-civ-spouse, United-States
24, Bachelors, Never-married, United-States
38, Prof-school, Married-civ-spouse, United-States
56, HS-grad, Married-civ-spouse, Canada
28, Some-college, Married-civ-spouse, United-States
36, HS-grad, Never-married, United-States
53, 9th, Married-civ-spouse, United-States
56, Some-college, Married-civ-spouse, United-States
49, Assoc-voc, Married-civ-spouse, United-States
55, Some-college, Married-civ-spouse, United-States
22, HS-grad, Never-married, United-States
21, Some-college, Never-married, United-States
40, Bachelors, Married-civ-spouse, United-States
30, Bachelors, Never-married, Germany
29, Bachelors, Married-civ-spouse, United-States
19, Some-college, Never-married, United-States
47, Bachelors, Married-civ-spouse, United-States
20, Some-college, Never-married, United-States
31, Assoc-acdm, Married-civ-spouse, United-States
35, HS-grad, Married-civ-spouse, United-States
39, Some-college, Divorced, United-States
28, Assoc-acdm, Never-married, United-States
24, HS-grad, Never-married, United-States
38, HS-grad, Married-civ-spouse, United-States
37, Bachelors, Married-civ-spouse, United-States
46, Assoc-acdm, Divorced, United-States
38, Masters, Married-civ-spouse, Iran
43, HS-grad, Married-civ-spouse, United-States
27, Assoc-voc, Married-civ-spouse, United-States
20, Some-college, Never-married, United-States
49, Some-college, Married-civ-spouse, United-States
61, HS-grad, Married-civ-spouse, United-States
27, Some-college, Never-married, United-States
19, Some-college, Never-married, Mexico
45, Assoc-voc, Never-married, United-States
70, Some-college, Never-married, United-States
31, HS-grad, Never-married, United-States
22, Some-college, Married-civ-spouse, United-States
36, HS-grad, Widowed, United-States
64, 11th, Married-civ-spouse, United-States
43, Some-college, Divorced, United-States
47, Some-college, Divorced, Mexico
34, HS-grad, Never-married, United-States
33, Bachelors, Never-married, Philippines
21, HS-grad, Never-married, United-States
52, HS-grad, Divorced, United-States
48, HS-grad, Married-civ-spouse, United-States
23, Bachelors, Never-married, United-States
71, Some-college, Separated, United-States
29, HS-grad, Divorced, United-States
42, Bachelors, Separated, United-States
68, 1st-4th, Divorced, United-States
25, HS-grad, Never-married, United-States
44, Masters, Divorced, United-States
28, HS-grad, Never-married, England
45, Masters, Married-civ-spouse, United-States
36, Some-college, Divorced, Mexico
39, Assoc-acdm, Never-married, United-States
46, Masters, Widowed, United-States
18, 11th, Never-married, United-States
66, Assoc-voc, Widowed, United-States
27, HS-grad, Never-married, United-States
28, HS-grad, Married-civ-spouse, United-States
51, Some-college, Married-civ-spouse, United-States
27, Bachelors, Never-married, United-States
28, Bachelors, Married-civ-spouse, United-States
27, HS-grad, Married-spouse-absent, United-States
21, HS-grad, Never-married, United-States
34, HS-grad, Never-married, United-States
18, HS-grad, Never-married, United-States
33, Bachelors, Married-civ-spouse, United-States
44, Some-college, Married-civ-spouse, United-States
43, Some-college, Divorced, United-States
30, Some-college, Never-married, United-States
40, 7th-8th, Married-civ-spouse, Mexico
37, Some-college, Married-civ-spouse, United-States
34, HS-grad, Married-civ-spouse, United-States
41, Bachelors, Divorced, United-States
53, Bachelors, Divorced, United-States
31, Masters, Married-civ-spouse, United-States
58, Doctorate, Married-civ-spouse, United-States
38, Some-college, Divorced, United-States
24, Some-college, Married-civ-spouse, United-States
41, Bachelors, Married-civ-spouse, United-States
47, Some-college, Married-civ-spouse, United-States
41, Bachelors, Married-civ-spouse, United-States
23, 5th-6th, Married-civ-spouse, Mexico
36, Some-college, Divorced, United-States
40, Masters, Never-married, United-States
35, Masters, Married-civ-spouse, United-States
24, HS-grad, Never-married, United-States
26, Masters, Never-married, United-States
19, HS-grad, Never-married, Italy
51, Bachelors, Married-civ-spouse, United-States
42, Some-college, Never-married, United-States
37, HS-grad, Divorced, United-States
18, 11th, Never-married, United-States
36, Bachelors, Married-civ-spouse, United-States
35, HS-grad, Divorced, United-States
58, HS-grad, Married-civ-spouse, United-States
17, 11th, Never-married, United-States
44, HS-grad, Married-civ-spouse, United-States
37, HS-grad, Married-civ-spouse, United-States
35, Some-college, Never-married, United-States
60, HS-grad, Married-civ-spouse, United-States
54, 7th-8th, Married-civ-spouse, United-States
37, Bachelors, Never-married, United-States
50, Assoc-acdm, Divorced, United-States
38, Bachelors, Married-civ-spouse, Poland
45, Bachelors, Married-civ-spouse, United-States
25, 10th, Never-married, United-States
31, Some-college, Married-civ-spouse, United-States
64, 1st-4th, Divorced, United-States
90, HS-grad, Never-married, United-States
54, HS-grad, Married-civ-spouse, United-States
53, Preschool, Never-married, United-States
18, HS-grad, Never-married, United-States
60, 10th, Divorced, United-States
66, HS-grad, Married-civ-spouse, United-States
75, Assoc-voc, Widowed, Columbia
65, HS-grad, Divorced, United-States
35, 11th, Separated, United-States
41, HS-grad, Divorced, United-States
25, Some-college, Never-married, United-States
33, Some-college, Divorced, United-States
28, Prof-school, Never-married, United-States
59, HS-grad, Married-civ-spouse, United-States
40, Some-college, Never-married, United-States
41, Bachelors, Married-civ-spouse, Iran
38, Masters, Married-civ-spouse, United-States
23, HS-grad, Never-married, United-States
40, Bachelors, Married-civ-spouse, United-States
41, HS-grad, Married-civ-spouse, United-States
24, Assoc-acdm, Married-civ-spouse, United-States
20, Some-college, Never-married, United-States
38, Some-college, Divorced, United-States
56, HS-grad, Married-civ-spouse,
58, HS-grad, Married-civ-spouse, United-States
32, HS-grad, Never-married, United-States
40, Assoc-acdm, Married-civ-spouse, United-States
45, HS-grad, Married-civ-spouse,
41, Prof-school, Married-civ-spouse, United-States
42, Bachelors, Married-civ-spouse, United-States
59, 10th, Widowed, United-States
19, Some-college, Never-married, United-States
58, Some-college, Never-married, United-States
42, HS-grad, Married-civ-spouse, Cambodia
20, HS-grad, Never-married, United-States
32, HS-grad, Separated, United-States
45, Assoc-voc, Widowed, United-States
50, 7th-8th, Divorced, United-States
36, Bachelors, Divorced, United-States
45, HS-grad, Married-civ-spouse, United-States
17, 11th, Never-married, United-States
59, Some-college, Married-civ-spouse, United-States
26, 11th, Married-civ-spouse, United-States
37, Some-college, Married-civ-spouse, Thailand
19, Some-college, Never-married, Canada
64, HS-grad, Married-civ-spouse, United-States
33, Bachelors, Never-married, United-States
33, HS-grad, Married-civ-spouse, United-States
61, HS-grad, Married-civ-spouse, United-States
17, 9th, Never-married, United-States
50, Masters, Married-civ-spouse, United-States
27, Masters, Never-married, United-States
30, HS-grad, Divorced, United-States
43, HS-grad, Married-civ-spouse, United-States
44, Some-college, Married-civ-spouse, United-States
35, Some-college, Never-married, United-States
25, Some-college, Never-married, United-States
24, Some-college, Married-civ-spouse, United-States
22, Bachelors, Never-married, Germany
42, Some-college, Married-civ-spouse, United-States
34, Assoc-acdm, Divorced, United-States
60, Bachelors, Divorced, United-States
21, HS-grad, Never-married, United-States
57, Masters, Married-civ-spouse, United-States
41, Prof-school, Married-civ-spouse, United-States
50, Some-college, Divorced, United-States
25, Bachelors, Never-married, United-States
50, 7th-8th, Married-civ-spouse, Ecuador
36, Bachelors, Married-civ-spouse, United-States
31, HS-grad, Divorced, United-States
29, Bachelors, Never-married, United-States
21, Some-college, Never-married, United-States
27, Bachelors, Never-married, United-States
65, HS-grad, Married-civ-spouse, United-States
37, Bachelors, Divorced, United-States
39, Masters, Married-civ-spouse,
24, HS-grad, Never-married, United-States
38, HS-grad, Divorced, United-States
48, Bachelors, Married-civ-spouse, United-States
21, Some-college, Never-married, United-States
31, HS-grad, Married-civ-spouse, United-States
55, HS-grad, Married-civ-spouse, United-States
24, Some-college, Married-civ-spouse, Laos
43, HS-grad, Divorced, United-States
26, Assoc-acdm, Never-married, United-States
46, Assoc-acdm, Never-married, United-States
35, Assoc-acdm, Married-civ-spouse, United-States
41, Some-college, Married-civ-spouse, United-States
26, Bachelors, Never-married, United-States
34, Masters, Married-civ-spouse, Taiwan
19, Some-college, Never-married, United-States
36, Bachelors, Divorced, United-States
22, Some-college, Never-married, United-States
24, Some-college, Never-married, United-States
77, Some-college, Married-civ-spouse, United-States
22, 5th-6th, Married-civ-spouse, Mexico
29, Some-college, Never-married, United-States
62, HS-grad, Widowed, United-States
39, HS-grad, Married-civ-spouse, United-States
43, Some-college, Married-civ-spouse, United-States
35, HS-grad, Divorced, United-States
29, 11th, Never-married, United-States
76, Masters, Married-civ-spouse, United-States
63, HS-grad, Married-civ-spouse, United-States
23, Assoc-voc, Never-married, United-States
43, Some-college, Married-civ-spouse, United-States
58, HS-grad, Married-civ-spouse, United-States
66, HS-grad, Never-married, United-States
41, Some-college, Never-married, United-States
26, Bachelors, Never-married, United-States
47, Assoc-voc, Never-married, United-States
55, 10th, Married-civ-spouse, United-States
53, HS-grad, Married-civ-spouse, United-States
17, 5th-6th, Never-married, Mexico
30, HS-grad, Never-married, United-States
49, Masters, Never-married, United-States
19, HS-grad, Never-married, Haiti
45, HS-grad, Married-civ-spouse, United-States
26, Assoc-acdm, Never-married, United-States
38, Assoc-voc, Married-civ-spouse, United-States
36, HS-grad, Married-civ-spouse, United-States
33, HS-grad, Never-married, United-States
22, Some-college, Never-married, United-States
43, Bachelors, Never-married, United-States
67, 11th, Married-civ-spouse, United-States
30, Assoc-voc, Divorced, United-States
56, Assoc-acdm, Married-spouse-absent, Iran
31, Bachelors, Never-married, United-States
33, Bachelors, Married-civ-spouse, United-States
26, HS-grad, Married-civ-spouse, United-States
33, Bachelors, Married-civ-spouse, United-States
46, 11th, Married-civ-spouse, United-States
59, Bachelors, Married-civ-spouse, United-States
38, HS-grad, Married-civ-spouse, United-States
65, 11th, Widowed, United-States
40, Assoc-voc, Married-civ-spouse, United-States
42, HS-grad, Married-civ-spouse, United-States
26, 9th, Married-civ-spouse, Portugal
36, 10th, Married-civ-spouse, United-States
62, Masters, Married-civ-spouse, United-States
43, Bachelors, Married-civ-spouse, United-States
43, Bachelors, Divorced, United-States
22, HS-grad, Married-spouse-absent, United-States
28, HS-grad, Married-civ-spouse, United-States
56, Some-college, Married-civ-spouse, United-States
22, Assoc-acdm, Never-married, United-States
57, Bachelors, Divorced, United-States
39, HS-grad, Divorced, United-States
26, Some-college, Never-married, United-States
17, 11th, Never-married, United-States
40, Assoc-voc, Married-civ-spouse, United-States
45, HS-grad, Married-civ-spouse, United-States
44, HS-grad, Never-married, United-States
20, Some-college, Never-married, United-States
33, HS-grad, Married-civ-spouse, United-States
23, Some-college, Never-married, United-States
46, Masters, Divorced, United-States
38, HS-grad, Married-civ-spouse, United-States
54, HS-grad, Divorced, United-States
46, 5th-6th, Divorced, United-States
25, Some-college, Married-civ-spouse, United-States
46, Some-college, Divorced, United-States
36, Some-college, Married-civ-spouse, United-States
23, HS-grad, Never-married, United-States
29, HS-grad, Separated, United-States
44, Some-college, Married-civ-spouse, United-States
19, Some-college, Never-married, United-States
19, HS-grad, Never-married, United-States
35, HS-grad, Married-civ-spouse, United-States
27, Bachelors, Never-married, United-States
46, Assoc-acdm, Separated, United-States
34, Bachelors, Married-civ-spouse,
34, HS-grad, Never-married, United-States
44, Some-college, Married-civ-spouse, United-States
45, Some-college, Divorced, United-States
20, HS-grad, Never-married, United-States
25, Bachelors, Married-civ-spouse, United-States
52, Bachelors, Married-civ-spouse, United-States
20, Some-college, Never-married, United-States
28, Some-college, Never-married, United-States
50, Bachelors, Married-civ-spouse, United-States
34, Assoc-voc, Divorced, United-States
28, 7th-8th, Married-civ-spouse, Puerto-Rico
41, Masters, Married-civ-spouse, United-States
28, HS-grad, Married-civ-spouse, United-States
46, HS-grad, Married-civ-spouse, United-States
28, Some-college, Married-civ-spouse, United-States
32, Some-college, Married-civ-spouse, United-States
41, Some-college, Divorced, United-States
24, HS-grad, Never-married, United-States
33, Some-college, Divorced, United-States
46, Doctorate, Married-civ-spouse, United-States
31, Some-college, Married-civ-spouse, United-States
35, 12th, Divorced, United-States
52, 1st-4th, Married-civ-spouse, Mexico
30, 11th, Never-married, United-States
34, 11th, Separated, United-States
34, HS-grad, Divorced, United-States
20, Some-college, Married-civ-spouse, United-States
17, 11th, Never-married, United-States
32, Bachelors, Married-civ-spouse, United-States
29, HS-grad, Divorced, United-States
33, 10th, Never-married, United-States
25, HS-grad, Married-civ-spouse, United-States
36, Masters, Never-married, United-States
23, HS-grad, Never-married, Dominican-Republic
63, HS-grad, Married-civ-spouse, United-States
47, Masters, Married-civ-spouse, United-States
80, HS-grad, Widowed, United-States
17, 11th, Never-married, United-States
40, Bachelors, Married-spouse-absent, United-States
30, Assoc-acdm, Married-civ-spouse, United-States
27, Some-college, Never-married, Philippines
33, Masters, Married-civ-spouse, United-States
34, HS-grad, Never-married, United-States
34, Some-college, Never-married, United-States
23, Some-college, Married-civ-spouse, United-States
42, Some-college, Married-civ-spouse, United-States
29, Bachelors, Never-married, United-States
45, HS-grad, Divorced, United-States
24, HS-grad, Never-married, United-States
44, Some-college, Married-civ-spouse, United-States
27, 9th, Never-married, Mexico
20, Some-college, Never-married, United-States
44, HS-grad, Widowed, United-States
51, HS-grad, Married-civ-spouse, United-States
20, HS-grad, Married-civ-spouse, United-States
17, 11th, Never-married, United-States
19, HS-grad, Never-married, United-States
45, Some-college, Married-civ-spouse, United-States
60, HS-grad, Married-civ-spouse, United-States
42, Assoc-acdm, Married-civ-spouse,
44, HS-grad, Married-civ-spouse, United-States
40, Assoc-voc, Married-civ-spouse, United-States
30, HS-grad, Married-civ-spouse, United-States
38, Some-college, Married-civ-spouse, United-States
23, HS-grad, Married-civ-spouse, United-States
32, Some-college, Married-civ-spouse, United-States
44, Assoc-acdm, Never-married, United-States
54, HS-grad, Married-civ-spouse, United-States
32, Bachelors, Married-civ-spouse, United-States
50, 1st-4th, Married-spouse-absent, United-States
24, Bachelors, Never-married, United-States
37, HS-grad, Married-civ-spouse, United-States
52, HS-grad, Divorced, United-States
38, Some-college, Married-civ-spouse, United-States
49, Masters, Married-civ-spouse, United-States
30, Bachelors, Married-civ-spouse, United-States
60, Some-college, Never-married, United-States
22, Some-college, Never-married, United-States
35, HS-grad, Never-married, United-States
30, HS-grad, Never-married, United-States
67, Assoc-voc, Divorced, United-States
46, Bachelors, Never-married, United-States
17, 9th, Never-married, United-States
22, Some-college, Never-married, United-States
27, 10th, Never-married, United-States
23, HS-grad, Never-married, United-States
33, Assoc-acdm, Married-civ-spouse, Portugal
43, Some-college, Married-civ-spouse, United-States
28, Bachelors, Never-married, United-States
41, HS-grad, Married-spouse-absent, United-States
52, 12th, Never-married, United-States
25, Some-college, Married-spouse-absent, United-States
63, 1st-4th, Married-civ-spouse, United-States
59, HS-grad, Married-civ-spouse, United-States
45, Bachelors, Divorced, United-States
38, Bachelors, Married-civ-spouse, United-States
40, HS-grad, Never-married, United-States
46, HS-grad, Divorced, United-States
35, Assoc-acdm, Never-married, United-States
34, HS-grad, Divorced, United-States
33, Bachelors, Never-married, United-States
41, HS-grad, Divorced, United-States
20, Some-college, Never-married, United-States
23, 5th-6th, Never-married, El-Salvador
26, Some-college, Never-married, United-States
72, HS-grad, Married-civ-spouse, United-States
23, HS-grad, Never-married, Poland
62, HS-grad, Married-civ-spouse, United-States
52, Some-college, Married-civ-spouse, United-States
58, Some-college, Divorced, France
25, Bachelors, Never-married, United-States
24, Bachelors, Never-married, United-States
19, Some-college, Never-married, United-States
43, Some-college, Married-civ-spouse, United-States
47, HS-grad, Separated, United-States
39, HS-grad, Divorced, United-States
49, Assoc-voc, Married-spouse-absent, United-States
53, 5th-6th, Widowed, United-States
32, Assoc-voc, Never-married, United-States
34, Some-college, Married-civ-spouse, United-States
28, HS-grad, Divorced, United-States
57, Assoc-voc, Widowed, United-States
25, Some-college, Never-married, United-States
20, Some-college, Never-married, United-States
21, Some-college, Never-married, United-States
34, Bachelors, Married-civ-spouse, United-States
38, Bachelors, Married-civ-spouse, United-States
50, HS-grad, Married-civ-spouse, United-States
24, Some-college, Divorced, United-States
37, Some-college, Married-civ-spouse, United-States
44, Some-college, Divorced, United-States
28, Some-college, Married-civ-spouse, United-States
42, Bachelors, Married-civ-spouse, United-States
74, Some-college, Divorced, United-States
38, HS-grad, Married-civ-spouse, United-States
44, Masters, Married-civ-spouse, United-States
44, 11th, Divorced, Puerto-Rico
26, HS-grad, Never-married, United-States
36, HS-grad, Married-civ-spouse, United-States
41, Assoc-acdm, Married-civ-spouse, United-States
67, Prof-school, Married-civ-spouse, United-States
39, 12th, Married-civ-spouse, United-States
57, 1st-4th, Widowed, United-States
29, Assoc-voc, Separated, United-States
31, Bachelors, Never-married, United-States
34, HS-grad, Never-married, United-States
44, Some-college, Married-civ-spouse, United-States
29, Doctorate, Never-married, United-States
30, Some-college, Never-married, United-States
27, HS-grad, Never-married, United-States
27, Some-college, Married-civ-spouse, United-States
32, HS-grad, Never-married, United-States
58, 10th, Married-civ-spouse, United-States
35, Some-college, Married-civ-spouse, United-States
21, HS-grad, Never-married, United-States
28, Some-college, Never-married, United-States
46, Some-college, Divorced, United-States
36, HS-grad, Separated, United-States
72, 11th, Widowed, United-States
35, HS-grad, Married-civ-spouse, United-States
33, Assoc-voc, Divorced, United-States
69, 11th, Never-married, United-States
35, HS-grad, Married-civ-spouse, United-States
31, HS-grad, Separated,
34, HS-grad, Married-civ-spouse, United-States
30, 11th, Married-civ-spouse, Mexico
28, Bachelors, Never-married, United-States
54, Bachelors, Married-civ-spouse, United-States
47, Some-college, Married-civ-spouse, United-States
24, HS-grad, Never-married, United-States
52, Bachelors, Married-civ-spouse, United-States
20, HS-grad, Never-married, United-States
43, Masters, Married-civ-spouse, United-States
45, 7th-8th, Separated, Mexico
29, HS-grad, Separated, United-States
47, Masters, Divorced, United-States
24, HS-grad, Never-married, United-States
51, HS-grad, Married-civ-spouse, United-States
17, 11th, Never-married, United-States
37, Assoc-voc, Married-civ-spouse, United-States
27, Doctorate, Never-married, United-States
29, Bachelors, Married-civ-spouse, United-States
18, 12th, Never-married, United-States
36, Assoc-acdm, Divorced, United-States
58, Bachelors, Never-married, United-States
26, Some-college, Married-civ-spouse, United-States
65, Some-college, Married-civ-spouse, United-States
57, HS-grad, Married-civ-spouse, United-States
59, HS-grad, Married-civ-spouse, United-States
27, HS-grad, Married-civ-spouse, United-States
31, Bachelors, Never-married, United-States
21, Some-college, Never-married, United-States
29, Some-college, Never-married, United-States
18, 11th, Never-married, United-States
52, 10th, Married-civ-spouse, United-States
57, Bachelors, Divorced, United-States
42, HS-grad, Married-civ-spouse, United-States
55, HS-grad, Married-civ-spouse, United-States
60, 7th-8th, Never-married, United-States
31, Bachelors, Married-civ-spouse, Canada
23, Bachelors, Never-married, United-States
27, HS-grad, Never-married, United-States
23, Some-college, Never-married, United-States
42, Prof-school, Married-civ-spouse, United-States
25, Some-college, Never-married, United-States
49, Bachelors, Never-married, United-States
32, Bachelors, Never-married, United-States
19, Some-college, Never-married, United-States
60, 7th-8th, Divorced, United-States
42, 9th, Married-civ-spouse, United-States
35, Assoc-acdm, Never-married, United-States
48, HS-grad, Never-married, United-States
51, Masters, Married-civ-spouse, United-States
29, HS-grad, Never-married, United-States
36, HS-grad, Separated, United-States
17, 10th, Never-married, United-States
52, Masters, Divorced, United-States
24, HS-grad, Never-married, United-States
24, HS-grad, Married-civ-spouse, United-States
26, Bachelors, Never-married, United-States
27, Bachelors, Never-married, United-States
39, HS-grad, Never-married, United-States
30, HS-grad, Married-civ-spouse, United-States
50, HS-grad, Married-civ-spouse, United-States
52, Bachelors, Married-civ-spouse, United-States
46, Prof-school, Married-civ-spouse, United-States
23, Bachelors, Never-married, United-States
45, 11th, Widowed, United-States
65, 9th, Widowed, United-States
29, Assoc-voc, Married-civ-spouse, United-States
47, 9th, Married-spouse-absent, El-Salvador
30, HS-grad, Never-married, United-States
34, HS-grad, Married-civ-spouse, United-States
38, HS-grad, Married-civ-spouse, United-States
33, Some-college, Married-civ-spouse, United-States
49, Bachelors, Married-civ-spouse, United-States
47, Some-college, Never-married, United-States
49, 10th, Separated, United-States
43, Some-college, Married-civ-spouse, United-States
30, Bachelors, Married-civ-spouse, United-States
58, HS-grad, Married-civ-spouse, United-States
19, HS-grad, Never-married, United-States
21, Bachelors, Never-married, United-States
33, Bachelors, Married-civ-spouse, United-States
47, 5th-6th, Married-civ-spouse, Cuba
52, Doctorate, Married-civ-spouse, United-States
26, HS-grad, Divorced, United-States
60, HS-grad, Married-civ-spouse, United-States
21, Some-college, Never-married, United-States
36, Some-college, Married-civ-spouse, United-States
31, Some-college, Married-civ-spouse, United-States
50, Doctorate, Separated, United-States
31, HS-grad, Divorced, United-States
71, HS-grad, Married-civ-spouse, United-States
58, HS-grad, Married-civ-spouse, United-States
30, Bachelors, Married-civ-spouse, United-States
20, Some-college, Never-married, United-States
24, HS-grad, Never-married, United-States
35, Doctorate, Married-civ-spouse, Taiwan
38, Some-college, Separated, United-States
27, HS-grad, Never-married, United-States
29, Some-college, Never-married, Philippines
70, 9th, Widowed, United-States
34, HS-grad, Married-civ-spouse, United-States
44, 7th-8th, Married-civ-spouse, United-States
43, HS-grad, Married-civ-spouse, United-States
44, 12th, Married-civ-spouse, United-States
35, Masters, Never-married, United-States
27, Some-college, Never-married, United-States
43, Masters, Never-married, United-States
20, Some-college, Never-married, United-States
42, Assoc-acdm, Divorced, United-States
27, Some-college, Married-civ-spouse, United-States
42, HS-grad, Married-civ-spouse, United-States
20, 11th, Married-spouse-absent, South
24, 9th, Never-married, United-States
48, Some-college, Divorced, United-States
17, 11th, Never-married, United-States
17, 11th, Never-married, United-States
33, Bachelors, Married-civ-spouse, United-States
50, HS-grad, Married-civ-spouse, United-States
22, HS-grad, Never-married, United-States
17, 12th, Never-married, United-States
32, Some-college, Married-civ-spouse, Mexico
31, HS-grad, Never-married, United-States
58, HS-grad, Widowed, United-States
29, HS-grad, Never-married, United-States
37, Assoc-voc, Married-civ-spouse, Portugal
34, HS-grad, Married-civ-spouse, United-States
23, Some-college, Separated, United-States
18, 11th, Never-married, United-States
34, HS-grad, Divorced, United-States
66, 7th-8th, Never-married, United-States
45, Bachelors, Married-civ-spouse, United-States
41, Masters, Never-married, Dominican-Republic
26, HS-grad, Never-married, United-States
54, Some-college, Married-civ-spouse, United-States
24, Some-college, Never-married, United-States
42, Some-college, Married-civ-spouse, United-States
20, Some-college, Never-married, United-States
23, Bachelors, Never-married, United-States
25, Assoc-acdm, Never-married, United-States
35, Masters, Never-married, United-States
31, Masters, Married-civ-spouse, United-States
30, Bachelors, Never-married, Poland
19, HS-grad, Never-married, United-States
36, Bachelors, Never-married, United-States
31, Bachelors, Widowed, Cuba
21, Some-college, Never-married, United-States
31, Some-college, Married-civ-spouse, United-States
46, Doctorate, Divorced, United-States
44, Bachelors, Divorced, United-States
40, 12th, Married-civ-spouse, Jamaica
45, Some-college, Never-married, United-States
60, HS-grad, Married-civ-spouse, United-States
18, 11th, Never-married, United-States
28, Bachelors, Married-civ-spouse, United-States
36, Some-college, Divorced, United-States
36, Bachelors, Separated,
40, Assoc-voc, Married-civ-spouse, United-States
36, Bachelors, Divorced, Honduras
31, HS-grad, Separated, United-States
33, HS-grad, Married-civ-spouse, United-States
19, HS-grad, Never-married, United-States
22, Some-college, Never-married, United-States
34, Bachelors, Married-civ-spouse, United-States
33, HS-grad, Never-married, United-States
41, HS-grad, Married-civ-spouse, United-States
29, Bachelors, Never-married, United-States
50, HS-grad, Married-civ-spouse, United-States
42, Bachelors, Married-civ-spouse, United-States
43, Bachelors, Never-married,
44, HS-grad, Married-civ-spouse, United-States
20, Some-college, Never-married, United-States
31, HS-grad, Married-civ-spouse, Mexico
65, 11th, Married-civ-spouse,
23, Some-college, Never-married, United-States
55, Some-college, Divorced, United-States
26, Assoc-voc, Married-civ-spouse, United-States
25, Assoc-voc, Never-married, United-States
